b	家
ndxc	撙
ndxv	擲 揂
ndsn	捹
ndsr	撦
ndrj	掩
ndrz	摐
ndrs	掸
ndvg	摦
ndvj	挎
ndvx	捺
ntbw	掕
ntfk	園
ntfq	鵰
ntfx	翢
ntfz	週
ntfs	彫
ntfv	郮
ntfw	雕
ntdk	圉
ntdz	撻
nttt	攂
nttg	掛
ntts	撓
ntlq	擮
ntkd	揋
ntxx	䎃
ntwf	撂
ntym	搕
ntyk	圔
ntyx	摞
nnpk	捆
nnmk	攌
nnfd	攮
nndl	摁
nndh	掆
nngb	捵
nnkd	删
nnkk	摑
nnsg	捄
nnrm	搵
nnrx	撄
nnwk	掴
nlbf	搒
nlbk	囮
nlbr	揥
nlmk	拯
nldp	攗
nlnm	掹
nlnf	摘
nlnk	囝 攟
nlnx	搎
nlnz	擿
nlnv	挪
nlgp	揉
nlgm	抒
nlgd	揆
nlgn	捅
nlgk	撜
nlgs	撥
nlkb	攏
nlkf	掊
nlkx	接
nlks	摬
nlkr	揞
nlkv	撞
nlkw	撖
nlky	鿜
nlhp	攈
nlhf	拁
nlhh	拹
nlhq	搚
nlhz	拰
nlzq	揟
nlcv	摌
nlsk	圍
nlwn	携 擕
nlwq	撨
ngbj	觍
ngbs	覥
ngbw	敟
ngpf	攠
ngpn	擵
ngmn	摨
ngmg	抓
ngfz	撾
ngfy	摾
ngdd	搦
ngdk	摒
ngnf	搁
nglf	挶
ngld	挀
nglc	捬
nggb	擴
nggd	搌
nggq	捩 掮
nggx	搧
nggc	揙
ngkt	握
nghb	擨
nghf	掂
nght	搋
ngqw	撒
ngxb	掀
ngxp	梊
ngxf	哲 搪 硩
ngxd	裚
ngxt	埑
ngxl	乴 悊
ngxg	掋
ngxh	烲
ngxj	銴
ngxq	焎
ngxx	娎
ngxz	逝 踅
ngxr	掶 晢
ngxw	誓
ngxy	蜇
ngcq	摭
ngsm	揗
ngsf	据
ngyb	撗
ngyq	捤
nkby	擟
nkmp	揀
nkmk	囸
nkfb	摗 攋
nkfp	捒
nkfm	抲
nkfd	揦
nkft	揊
nkfg	爴
nkfk	國
nkfj	摳
nkfq	掝
nkdd	挟
nkds	抨 掭
nknp	拺
nknl	攦
nknk	囤
nknj	扽
nkgj	拒
nkgr	挗
nkkj	㧟 擓
nkkx	黽
nkkv	鄳
nkhk	挜
nkhh	攝
nkhs	摂
nkhr	搢
nkhv	摄 揶 掫
nkjg	丣
nkqg	捕
nkqk	圃 圑
nkqc	搏
nkxg	拭
nkxh	挱
nkxx	捿
nkxz	捷
nkzg	搟
nkzx	摲
nkzz	摙
nkcl	慁
nkck	圂 掗
nksk	挳
nkrg	掚
nkrk	團
nkrj	揠
nkrc	摶
nkrr	挾
nkry	挭
nkyd	捯
nkyt	挃
nkyj	抠
nkyr	摤
nhpk	囷
nhph	揪
nhpx	捼
nhmb	揁
nhmn	擤
nhmq	搝
nhdd	挑
nhdt	播
nhdk	圌
nhdv	揣
nhtb	攢
nhtm	攎
nhtf	捁
nhtl	攄
nhth	擄
nhtr	攒
nhnm	艸 茻
nhnd	擙
nhnt	搆
nhnl	摠
nhns	摣
nhlf	攜 雟
nhlh	抛 掳
nhlw	摧
nhgg	抸
nhkf	撲
nhkc	據
nhkw	擈
nhhp	櫱 糱
nhhf	攚
nhhn	孼 摢
nhhh	撈
nhhx	辥
nhhy	蠥
nhzg	挺
nhsf	括
nhsl	扸
nhsk	捶
nhsj	插 揷
nhrp	擽
nhrw	揘 撽
nhvz	搥
nhys	搬
njmd	換
njmv	搜
njfd	掵
njft	攙
njfn	搿 揜
njfr	撿
njnd	换
njnk	圇
njnc	掄
njlb	摜
njlg	拇
njlc	掾
njlr	掼
njly	攭
njgp	搩
njgg	拸
njgr	拟
njkn	攑
njkr	撸
njhg	拨
njqd	揄
njqs	摡
njqr	擼
njxm	挣
njxk	揑
njcw	擔
njsk	捡
njvh	搖
njvq	撚
njvx	摖
njyx	紥
njys	攪
nqbb	鴥
nqbg	拢
nqmn	拵
nqmq	鷌
nqmv	捓
nqdq	鸃
nqld	鴃
nqlg	鴏
nqlh	鳨
nqls	鵦
nqlw	鵻
nqgt	鷈
nqkm	鴚
nqhr	鶳
nqjp	鵌
nqjg	扰
nqjh	拋
nqjs	鶃
nqqk	囿
nqcb	鶀
nqcd	擃
nqcv	鸌
nqsr	撍
nqrn	鵿
nqrs	鸔
nqvg	拔
nqvr	摕
nqwf	鴼
nqwv	鴤
nqww	鷻
nqyw	鵔
nxbr	掃
nxms	捸
nxtk	圕
nxng	揵
nxlf	捂
nxlk	圄
nxkb	摃
nxhf	捃
nxhh	挘
nxhq	毮
nxjd	掁
nxjg	抵
nxjr	捪
nxxc	撏
nxxs	摎
nxxr	摺
nxxw	擢
nxvx	摽
nzbk	撎
nzbv	授
nzmx	攥
nzmv	拃
nzfb	擷
nzft	擡
nzfr	撷
nzdb	攧
nzdd	擶
nzdj	拖
nzln	捊
nzlg	挻
nzlz	逰
nzlc	擣
nzgn	揺
nzgv	援
nzkr	擌
nzhq	撝
nzjf	撘
nzjd	擳
nzjg	挴
nzxm	掙
nzzh	摇
nzsq	撫
nzrv	摥
ncbh	捞
ncfl	撼
ncfy	蟗
nctt	捱
ncnb	撅
nclj	扼
nclv	鹱 擭
nckb	擹
nckp	揲
nckh	搑
nckj	抴
ncks	撶
nckw	攤
nchm	攊
nchq	搣
ncjf	搭
ncjx	攃
ncjw	擏
ncqf	掿
ncxq	揻
nccp	擛
ncsb	掑
ncsj	揕
ncsq	摵
ncsx	撕
ncsr	擆
ncrp	搽
ncrd	摸
ncrj	擖
ncrq	擫
ncvd	振
ncvc	搙
nsbn	挬
nsmd	揳
nsms	撹
nsft	擋 摚
nsfn	撑
nsfk	固
nsfh	撐
nsfq	攩
nsfy	蚩
nsdp	掬
nsdc	摪
nsng	揇
nsnh	搊
nsnq	擜 鴡
nsny	擸
nslh	助
nslw	雎
nsgp	皳
nsgm	盚
nsgd	裘
nsgl	慦
nsgz	逑
nsgw	救
nskk	囻 搄
nskj	抿
nsks	挄
nshv	挷
nsjg	拶
nsqj	拷
nsxl	懸
nsxk	揯
nsxx	縣
nsxv	掓
nszg	擀 撠
nszh	掏
nssg	撰
nsrp	搸 摷
nsrd	揍
nsrn	捧
nsrj	摏
nsvl	揔
nsvk	囫
nsyl	悬
nrbb	掍
nrbk	贮
nrmv	摱
nrfx	摟
nrfw	擻
nrdh	赚
nrdr	赠
nrnm	赗
nrnf	赒
nrnn	鹦
nrng	赇
nrnh	罂
nrnx	婴
nrnr	赑
nrlf	赔
nrld	搇
nrll	捻
nrlg	拎
nrlk	囹
nrlj	抢
nrlr	摿
nrgf	捨
nrgt	赃
nrgv	赆
nrkg	捑
nrkq	贼
nrkc	赙
nrkv	揚 撮
nrhf	贴
nrhg	贬
nrhh	赕
nrjw	赡
nrqq	贿
nrxf	搶
nrxx	搨
nrcd	赈
nrsb	掲
nrsd	赎
nrsj	揭
nrsr	赌
nrsv	掦
nrsy	购
nrrt	挫
nrrq	攕
nrrx	赊
nrrv	赐
nrvg	赋
nrvq	贱
nrwf	赂
nrwn	擒
nrwr	赅
nrym	擝
nryf	贻
nvmg	戤
nvmh	勖
nvmq	毷
nvfn	冔
nvfy	掻
nvdk	围
nvlw	摊
nvgy	搔
nvjg	抟
nvqk	圊 囲
nvqq	撱
nvzj	揽
nvsg	廽
nvsk	园
nvsz	逥
nvvp	攔 搡
nvvf	擱
nvvv	掇
nvvw	撋
nvvy	撊
nvyk	囩 図
nwbm	揨
nwmp	櫜
nwmr	揝
nwfd	攘
nwfy	蛰
nwdv	擠
nwtk	囥
nwnf	搞
nwnq	鴅
nwnr	贽
nwlh	势
nwlw	掖 撴
nwgk	国
nwhd	裊 袅 挔
nwhk	擅
nwcv	雘
nwsm	捀
nwsz	摓
nwrs	捽
nwvk	图
nwvw	擁
nwyf	攍
nwyt	搐
nwyn	摛 撁
nwyk	圝 圞
nwyq	挤
nwyx	絷
nwys	摔
nwyw	撤 攡
nybw	捘
nyps	摋
nymk	圎
nyff	撟
nyfk	囼
nydz	撪
nyds	掺
nydv	擩
nylh	拗
nylw	攉
nyks	挠
nyqq	撬
nyzd	挨
nyzs	攬
nysk	圗
nysj	撧
nysv	揰
nyvt	摼
nyvj	摴
nyyt	羀
nyys	摻 撡
lbbf	僒
lbbk	倥
lbbr	偕
lbmb	貨
lbfs	覫
lbdb	傾
lbdr	倾
lbnr	货
lblm	儜
lblw	傕
lbkb	儐
lbkm	佇
lbkc	傢
lbhd	侬
lbht	僿
lbhq	侘
lbjj	倇
lbjy	傀
lbqb	傧
lbzz	儗
lbrf	啻
lbrq	鶙
lbrz	遆
lbvx	倧
lbvs	俒
lbyl	倊
lbyx	傟
lpby	倯
lppx	僸
lppz	儊
lpnq	鵂
lmbp	偨
lmbd	側
lmbv	儩 鄮
lmfn	凾
lmfk	亟
lmfq	焏
lmtj	鎥
lmld	候
lmkb	倶
lmkp	疎
lmkm	卍
lmkd	儇
lmsb	顄
lmsn	函
lmsk	丞
lmsj	卺 巹
lmsq	烝 脀
lmss	承
lmvq	偝
lmwt	偹
lmwl	悠
lmwg	鞗
lmwh	疏 倐 焂
lmwj	鋚
lmwq	倏 脩 儵 鯈
lmwx	絛 翛
lmwz	跾
lmws	修
lmyw	儸
lfpb	賲
lfpt	堡
lfph	煲
lfmb	傊
lfmj	俋
lffb	儧
lffp	僺
lfff	偘
lffj	偔
lffs	僤
lffr	僣
lffw	儼 麣
lfkd	俣 麌
lfkh	偮
lfhf	侶
lfhd	袞
lfhw	諐
lfjd	俁
lfsb	僓
lfsz	儙
ldpm	麟 僯
ldpx	偻
ldmf	俖
ldmg	伓
ldmk	伾
ldmr	僧
ldfj	倦
ldfq	儯
lddb	贕
lddm	傄
lddn	孵
lddg	卵
lddx	僚
ldds	毈
ldtc	偫
ldnd	偄
ldnq	鴂
ldns	偭
ldnv	侕
ldnw	優
ldlg	伪
ldlq	偽
ldgh	俤
ldkm	倚
ldkf	僐
ldkd	偂
ldkn	佯
ldkk	傞
ldkh	傔
ldhm	飛 飝
ldjl	怹
ldjg	偧
ldxc	僔
ldxv	偤
ldsn	倴
ldrj	俺
ldrz	傱
ldrs	𫢸
ldvj	侉
ldvx	倷
ldwq	儀
ltbw	倰
ltdg	倖
ltdq	傤
lttt	儡
lttx	儽
ltts	僥
ltnq	鶹
ltlh	侽
ltkd	偎
ltkq	儎
ltkr	佩
lthy	偑
ltyx	傫
lnbf	商
lnbx	孮
lnmb	孭
lnmh	勐
lnmx	孾
lnfd	儾
lntf	倜
lnln	孖 孨
lnlr	孴
lngb	倎
lnkk	孲
lnkx	僶
lnhl	愻
lnhk	麕
lnhx	孫
lnhz	遜
lnxm	孻
lnxz	逊
lnsb	俱 歒
lnsf	啇
lnsg	俅
lnsk	個 伵
lnsz	適
lnss	孢
lnsw	敵 甋
lnrd	侧
lnwr	孩
lnyf	孡
lnyv	孺
llbf	傍
llbr	偙
lllp	橤
lllx	繠
lllw	慶
llgm	伃
llgf	僪
llgn	俑
llgk	僜
llkb	儱
llkf	倍 伺
llkd	侯
llkl	億
llkk	傡
llkx	倿
llkz	傽 麞
llks	傹 儭
llkr	偣
llkv	僮 鄇
llhf	伽
llzq	偦
llcs	偐
llsm	偉
llwn	儁
llwq	僬
llyh	俲
llyw	傚
lgmv	假 麚
lgdk	偋
lgnn	甬
lgnl	恿
lgnk	圅
lgnh	勇 勈
lgnz	通
lglb	預
lglm	予
lglf	侷
lgln	僝
lglx	豫
lglc	俯
lglr	预
lggb	儣
lggx	傓
lggc	偏
lggv	侭
lggw	僱
lgkt	偓
lgkh	麛
lght	傂
lghn	備
lghl	憊
lghq	侂
lgxb	俽 儨
lgxm	傭
lgxf	傏
lgcp	柔 楘
lgcm	骛 瞀
lgcf	矞
lgcd	劀 奦
lgct	堥
lgcn	鹜 鹬
lgcl	矜 愗
lgcg	矝 鞪
lgch	務 嵍 熃
lgcj	鍪
lgcq	騖 氄 矟 鶔 鶩 鷸
lgcx	婺
lgcz	遹
lgcr	暓 矠
lgcv	矡
lgcw	敄
lgcy	蟊 蝥
lgsm	偱
lgsf	倨
lgvd	癸
lgvt	凳
lgvg	戣 癶 癷
lgvk	登
lgvz	邆
lgvs	發 癹 発 覴
lgvv	鄧 鄈
lgyb	僙
lkbm	竚
lkbc	竕
lkbs	竩
lkby	儞 竤
lkpx	新
lkps	親
lkmq	傿
lkfm	何 倳 竒
lkfd	剖
lkft	偪
lkfn	孠
lkfk	侸
lkfh	勏
lkfj	傴 郶
lkfs	覗
lkfv	部
lkfw	瓿 敨
lkfy	使
lkdp	俫
lkdd	侠
lkdc	竴
lkds	伻
lkdr	竡 竲
lktk	僵 麠
lkty	颯 飒
lknt	侢
lknl	儷
lkng	俪
lknj	伅
lknq	鴗
lknr	俩
lklk	竝 竳
lklr	暜
lkgk	竮
lkgj	佢
lkgr	侇
lkkp	竦
lkkx	竵
lkkc	竱
lkhf	站
lkhn	竔 竬
lkhl	憨 聼
lkhg	饏
lkhh	竧
lkhz	竨
lkhc	俨
lkhs	竏
lkhv	端 倻
lkhw	敢
lkjb	貸
lkjp	柋
lkjm	竫
lkjd	袋
lkjt	垈
lkjn	牮
lkjg	代 戼
lkjk	仾
lkjh	岱 勭
lkjq	黛 廌 氃
lkjx	𦒍
lkjr	贷 帒
lkjv	童
lkqb	龍 龖 龘
lkqf	礱
lkqd	襲 龑
lkqt	壟
lkqn	龏
lkqg	龔 俌 鬴
lkqh	聾
lkqq	驡 鸗
lkqx	龒
lkqc	傅
lkqr	傮
lkqw	讋
lkqy	竑 蠪
lkxg	侙
lkxh	竗
lkxx	競 翊
lkxz	倢
lkzb	贛 贑
lkzl	戆 戅 戇
lkzz	僆 遧
lkzs	彰
lkzr	赣
lkzv	鄣
lkzw	僌 竷
lkcb	顡
lkcl	僫
lkck	俹
lkcx	斵
lkcs	毅
lkcv	竰
lksk	俓
lksv	攱
lkrb	韻 歆
lkrp	倈 倲
lkrm	韸
lkrf	韶
lkrd	韵 韺
lkrl	意 僡
lkrg	倆 竛
lkrj	竭 偃 竜
lkrq	戠 鶕 鷾
lkrx	嬜
lkrz	韼
lkrc	傳 韷
lkrs	竟 竸
lkrr	俠 韴
lkrv	頀
lkrw	韹
lkry	便
lkvq	靖
lkyd	倒 竢
lkyt	侄 耋
lkyj	伛
lkyq	竓
lkyr	傸
lkyw	竣
lhpf	俰
lhpd	俐
lhpl	僽
lhph	偢
lhpx	倭
lhpr	麘
lhpy	俬
lhmb	偵
lhfb	賀
lhfp	架
lhfm	驾 哿
lhfd	袈
lhfn	偊
lhfl	乫
lhfq	駕 毠 鴐
lhfx	妿
lhfz	迦
lhfc	嗧
lhfr	贺
lhfy	虱
lhdd	佻
lhdt	僠
lhdl	乮 僁
lhdv	偳
lhtb	儹
lhtf	俈
lhtl	儢
lhts	侁
lhnt	傋
lhnl	傯
lhnq	俄
lhnr	侦
lhnw	傻
lhlf	儶
lhll	勰
lhlh	劦
lhlq	脅
lhlx	姭
lhls	伜
lhlw	催
lhgg	倂
lhgv	偸
lhkf	僕
lhhp	儝
lhhh	僗
lhjp	儏
lhjd	卿
lhqc	麝
lhxz	偼
lhzb	賃
lhzp	栠
lhzt	凭
lhzl	恁
lhzg	侹
lhzq	鵀
lhzr	赁
lhsf	佸
lhsk	倕
lhsj	偛
lhrl	侺
lhrw	偟 儌
lhyx	係
lhyy	傰
ljmb	偩
ljmr	儈
ljmv	傁
ljft	儳
ljfr	儉 倹
ljnc	倫
ljgp	傑
ljgf	佲
ljgg	侈
ljgr	似
ljkx	斲
ljqd	偷
ljqg	僦
ljxm	鿇
ljxl	您
ljcj	佹
ljcw	儋
ljsk	俭
ljsr	储
ljvx	傺
lqmn	侟
lqmk	丱
lqmh	伢
lqkk	僼
lqjg	优
lqxk	佐
lqcd	儂
lqsr	僭
lqvr	僀
lxbv	侵
lxmb	價
lxdp	僳
lxds	僊
lxng	健
lxlf	俉
lxlk	伍
lxhm	偗
lxhf	侰 麏 鿘 鿚
lxhx	鿙
lxjm	僲
lxjd	倀
lxjg	低
lxxs	僇
lxsm	儘
lxvx	僄
lzbm	僢
lzbw	僾
lzmb	儥
lzmv	作
lzff	僖
lzft	儓
lzfy	蛋
lzdf	倁
lznt	偁
lzln	俘
lzlh	伤
lzlc	儔
lzhq	僞
lzjg	侮
lzzh	傜
lzsm	儛
lzrk	疍
lzrv	傷 鬺
lzyd	傒
lcmg	儚
lcfq	麙
lcnd	偀
lclj	伌
lckp	偞
lckf	傼
lckh	傇
lckj	伳
lckv	僅
lckw	儺
lchm	儮
lchd	剷
lchx	傆
lchv	産
lcjw	儆
lcqf	偌
lcxh	亷
lczq	儰
lccp	僷
lcsb	顔 麒 倛 僛
lcsn	僃
lcsj	偡
lcsq	傶
lcsz	遃
lcsr	颜
lcvd	侲 麎
lcvc	傉
lsbn	侼
lsmd	偰
lsmj	値
lsfb	償 韥
lsfp	韖 韘
lsfm	韋 韎 韞
lsff	韐
lsfd	韔
lsft	儅 韝
lsfn	韕 韛
lsfl	韢
lsfg	韍 韚
lsfj	韜
lsfq	儻 韒 韤
lsfz	違 韗
lsfs	傥 韟 韠 韡
lsfr	韌
lsfv	郼
lsfw	做
lsfy	蝨 韣
lsnf	倘
lsnq	鳵
lsns	值
lsnw	僘
lsny	儠
lsks	侊
lshc	俦
lshw	俇
lsqn	侾
lsqj	侤
lsqr	偖
lsxv	俶
lscb	僨
lscr	偾
lssm	舝
lssg	僎
lsrn	俸
lsrs	傣
lsrr	偆
lsvl	偬
lsvy	偿
lrbb	倱
lrmv	僈
lrfx	僂
lrlb	僋
lrlg	伶
lrlj	伧
lrgf	倽
lrgs	儤
lrkv	偒
lrxf	傖
lrxx	傝
lrsj	偈
lrrt	侳
lrvy	侩
lryq	儑
lvbp	彚
lvmb	債
lvmm	盝
lvmd	剥
lvmg	倵
lvmz	逯
lvms	录
lvdn	彞 彛
lvnr	债
lvlw	傩
lvhd	俵
lvjg	传 夛
lvqs	儬
lvvr	僴
lvvy	僩
lvyx	傃
lwbm	停
lwbq	燞
lwbc	儫
lwmf	倃 麔
lwmn	雋
lwmr	偺
lwfd	儴
lwdb	顀
lwdv	儕 麡
lwnf	傐
lwlp	雧
lwln	犨
lwlv	雙
lwlw	讐 雔 雥 雦
lwhd	依 偯
lwhk	儃
lwjx	侫
lwjw	雠
lwqb	顦
lwqm	佭
lwqd	劁
lwqn	鹪
lwqq	鷦
lwsq	鶽
lwsr	儲
lwrs	倅
lwwn	犫
lwww	讎
lwyf	麐
lwyt	傗
lwyh	麍
lwyq	侪 俼
lwyr	侅
lybw	俊
lymj	俷
lyff	僑 麢
lydb	頝
lydv	儒
lynq	鵁
lynw	鬷
lylh	効
lygt	垡
lygg	俴
lykj	俜
lyks	侥
lyhd	衮
lyht	虠
lyhn	侔
lyqq	倄
lyqr	俙
lyqw	儍
lyzm	儖
lyzd	俟
lysh	働
lysv	偅
lyyq	僟
lyys	傪
gbbk	谾 鞚
gbfy	螷 螸 蠯
gbdb	廎
gbdx	屪
gbdr	庼
gbhv	廀
gbjy	廆
gbyp	庺
gppb	黂
gppp	糜 穈
gppm	麽
gppf	磨 靡 麿
gppd	劘
gppt	塺
gppn	摩 犘
gppq	麾 爢
gppx	縻
gppr	黁
gppv	黀
gppy	麼 魔
gmbb	屭
gmbd	廁
gmbx	廮
gmmv	彏
gmgt	坕
gmgj	爬
gmgs	爮
gmkd	彋
gmsd	劚
gmsn	犀
gmsx	斸
gmsz	遲
gmsr	鞜
gmsy	屬
gmvz	遐
gmvv	叚
gffn	犟
gffh	勥
gffs	彈
gffw	謽
gffy	强
gfqs	旤
gfsb	鞼
gdpl	鬻
gdpg	粥
gdpx	屡
gdmb	頇
gdmz	屣
gdmr	層
gdmw	廈
gddx	屦
gdnr	顸
gdgd	弱
gdgq	鶸
gdkd	劆
gdkn	庠 羼
gdkh	廉
gdkz	遅
gdkc	彅
gdxv	鞧
gdzw	履
gdcp	屧
gdcj	屜
gdsv	屐
gdrg	弼
gdrj	庵
gdrx	屨
gdrs	弹
gdyf	屩
gtbw	庱
gtdz	韃
gtkk	疆
gtym	廅
gnpn	鹇
gnmd	阛
gnmq	阒
gnmv	弢
gnff	闾
gnfr	阓
gnfv	阏
gnfy	闽
gndk	鞇
gndj	阉
gndx	阅
gndz	闼
gnds	阐
gntm	阖
gntt	闺
gnnb	阙
gnnk	阃
gnld	阕
gnlg	阀
gnlk	鞡
gnlw	阚
gngg	阆
gnkp	阑
gnkf	阔
gnkh	闻
gnkq	阈
gnhp	𫔶
gnhj	闿
gnjj	阎 阄
gnjs	阋
gnqy	闳
gnxt	𬮱
gnxr	阍
gnzv	阌
gnsr	阇
gnsv	庪
gnrx	阘
gnrr	阊
gnvd	闱
gnwf	阁
gnwt	闶
gnwr	闹 阂
gnwy	闵
glds	覛
glnn	孱
gllf	噟
glln	鹰
glll	應
gllq	鷹 膺
gllw	譍
glgp	鞣
glgm	序
glgs	廢 廃
glkb	龐 豅
glkf	鞛
glkq	韀
glkv	廍
glkw	豃
glky	鞭
glch	焤
glcr	腐
glsr	昶
ggfj	扈
ggfw	啟
ggnf	扃
ggnq	騗 鳸 鶣
ggnx	翩
ggnz	遍
ggnc	扁
ggnw	甂
gglb	顧
gglw	雇
gggb	彍
gggl	乺
gggx	所
gghf	扂
gghn	鞴
gghh	扊
ggjd	展
ggjg	扅
ggjv	廊
ggqb	顅
ggqq	鵳
ggxn	肁
ggxx	扇
ggst	壂
ggsh	焈
ggsq	臀
ggsr	廜 臋
ggrk	昼
ggvs	戽
ggwp	棨
ggwf	啓
ggwd	扆
ggwn	肇
ggwx	綮
ggwr	晵
ggyb	廣 彉
ggyf	啔
ggyn	肈
ggyl	懬
ggyv	鄺
gkbg	瓕
gkby	彌
gkmj	巵
gkfm	彁
gkft	垕
gkfh	劶
gkfj	彄
gkfz	逅
gkfv	郈
gktk	韁 彊
gknl	廲
gkng	弻
gknj	庉
gklj	卮
gkgj	弡
gkhl	廳 廰
gkqg	庯
gkzb	廤
gkcy	瓥
gksk	弳
gksr	鿮
gkrp	庲
gkry	鞕
gkyd	剭
gkyt	屋 庢
gkyj	𫸩
ghpb	廭
ghph	鞦
ghms	覝
ghfn	属
ghdd	庣 鞉
ghtb	歋
ghtm	廬
ghtn	䴘
ghtq	鷉
ghtz	遞
ghnt	鞲
ghgg	屛
ghzg	庭
ghrs	廏
gjmr	廥
gjmv	廋
gjfn	鞥
gjfj	郒
gjlh	勆
gjhg	废
gjqn	廯
gjqs	廐
gjcn	廨
gjcw	韂
gjvt	廛
gjvv	鄽
gjvy	鿥
gjyp	㮾
gjyt	塱
gqbb	髌 髕
gqbf	髂
gqbg	庞 髖
gqbj	髋
gqbw	髉
gqmb	費 骴
gqmh	庌 谺
gqmv	鄪
gqmy	髑
gqdb	顝
gqdk	骿 髊
gqdj	骻
gqdx	髅
gqts	髐
gqnq	鶻
gqnr	费
gqlf	髈
gqly	骹
gqgp	髍
gqgf	骺
gqkn	骬
gqkg	骮
gqkc	髆
gqky	骾
gqhm	髗
gqhl	骩
gqjg	庬
gqjj	艴
gqqk	體
gqqz	髓 髄
gqxg	骶
gqxs	髎
gqzx	骽
gqcn	髒
gqsf	骷
gqss	骲
gqrp	髁
gqrn	髃
gqrq	骱
gqrx	髏
gqvr	廗
gqwf	骼 髇
gqwt	骯
gqwr	骸
gxmm	彇
gxmf	唐
gxmj	弬
gxmq	鶶
gxms	康
gxmv	鄌
gxmy	斶
gxdb	頎
gxdz	韆
gxdr	颀
gxng	鞬
gxll	慇
gxlh	劤
gxls	殷
gxgb	質
gxgf	啠
gxgd	劕
gxgx	斦
gxjd	張
gxjg	底 弤
gxqm	庸
gxqq	鷛
gxqv	鄘
gxxs	廖 豂
gxrb	賡
gxrn	鹒
gxrq	鶊
gxrr	赓
gzmb	豄 韇
gzfc	廚
gzsq	廡
gzyd	豀 鞵
gcmq	韈
gcnq	鶌
gclq	韉
gclv	韄
gckp	屟 弽 鞢
gckd	剫
gckn	鹧
gckg	庹
gckj	屉 靾
gckq	庶 鷓
gckz	遮
gcks	鞾
gckr	席 庻
gckv	度 廑
gcky	䗪
gcjf	鞳
gcqn	鞯
gcsx	廝
gcvp	韊
gcvd	屒
gsmb	貭
gsmg	瞂
gsmq	鶞
gsmx	緳
gsmz	遁
gsfd	剧
gsft	鞺
gsfq	鶋
gsfw	廱
gsdp	鞠
gsdf	屫
gsnf	鞝
gsnr	质
gsnw	廠
gsqd	鞩
gsqn	庨
gsqq	鷵
gsqr	屠
gszy	廟
gsrh	廧
gsrs	弾
grfx	屢 廔 鞻
grnq	鵲
grlf	谽
grgx	斮
grgs	彃 鞸
grsj	鞨
grrt	座
gryq	韅
gvkm	屙
gvxd	褽
gvxn	犚
gvxl	慰
gvxk	弪
gvxh	熨
gvxc	尉
gvxv	叞
gvxy	螱
gvrz	逓
gvry	廕
gwln	弴 鞟
gwlv	廓 鞹
gwhp	廩
gwhd	庡
gwhx	廪
gwyx	婱
gybf	黇
gybt	黈 黊
gybl	黅
gybq	鷬
gybs	斢 黆
gyff	鞽
gyfy	強
gylh	靿
gyqn	屘
gyqc	屗
gyxs	廫
gyyq	鞿
kbbp	深
kbbf	滘
kbbt	漥 潌
kbbg	浫 溛
kbbk	涳
kbbh	滵
kbbq	湥
kbbr	湝
kbmb	濵
kbds	浑
kblm	濘
kbln	澝
kbkb	演 濱
kbkm	泞
kbkk	渲
kbkz	渾
kbkc	溕
kbhd	浓
kbht	瀋
kbhn	浶
kbhz	瀽
kbjj	涴
kbjq	瀉
kbjy	溾
kbqb	滨
kbqy	浤
kbxv	濅
kbcm	湓
kbsl	瀗
kbsv	漃
kbrt	壐
kbrl	溟
kbrg	璽
kbrq	鸍
kbrz	邇
kbrs	覼
kbry	爾 蠒
kbvp	滱
kbvx	淙
kbvs	浣
kbyk	滏
kbyx	滃
kpby	淞
kppp	潹
kppf	滼
kppt	漜
kppq	潸
kppx	漤 澿
kppz	濋
kppr	澘
kpdf	碆
kptt	溎
kpgx	淅
kphr	湐
kpzs	灪
kprk	渣
kprs	漆
kpvx	渿
kmbd	測
kmbg	濺
kmbx	瀴
kmbv	瀃
kmpq	鶫
kmmb	瀕
kmmm	澁
kmmh	涉
kmmj	匷
kmmr	濒
kmmw	灈
kmdb	頂 頙
kmdr	顶
kmtt	濹
kmtg	澤
kmtq	潶
kmnq	鴊
kmlr	潀
kmlw	濉
kmkd	澴
kmkq	焉
kmkv	鄢
kmjl	濎
kmxh	渺 渉
kmcd	瀱
kmcq	濊
kmsm	灩
kmsk	灃
kmsj	灧
kmss	渁
kmsr	涾 濖
kmsy	濁
kmvq	靕
kfpb	賴 欶 頼
kfpm	整
kfpd	剌
kfpn	揧
kfpl	慗
kfph	勅
kfpq	鵣 鶒 鷘
kfpx	辢
kfpz	速 遫 遬
kfpr	赖
kfpw	敕
kfmb	歌 溳
kfmm	哥
kfmf	潞
kfmg	戨
kfmj	浥
kfmv	叓 栆
kffb	歐 濽
kffp	澡 敺
kffd	剾
kffl	漶
kffh	澏
kffj	區 匰 湂
kffq	鷗
kffs	毆 潬
kffr	潜
kffw	甌
kfdb	頭 豍
kfdd	剅
kfdk	豆 豇
kfdh	豏 鿲
kfdj	豌
kfdq	毭
kfdz	逗
kfdv	豉 郖
kftd	副
kftt	疈
kftq	鶝
kftz	逼
kfnr	涢
kfkd	洖
kfkl	惑
kfkg	彧
kfkh	湒
kfkq	或 濈
kfjc	尀
kfxm	事
kfxd	剚
kfzn	游
kfzj	湤
kfzz	漩
kfsb	潰
kfsj	匮 匱
kfsz	瀢
kfsr	溃
kfrj	渑
kfrv	淤
kfvl	悪
kfvk	亜
kfwt	塣
